,bairro/cidade,rua,legenda,area m²,Quartos,banheiros,vagas,preço,condominio,bairro,cidade
506,"Dionisio Torres, Fortaleza",Rua Israel Bezerra,"Apartamento para comprar 
Dionisio Torres, Fortaleza",155,3,4,3,R$ 1.700.000,Cond. R$ 1.560 • IPTU R$ 1,Dionisio Torres, Fortaleza
507,"Aldeota, Fortaleza",Rua Desembargador Leite Albuquerque,"Apartamento para comprar 
Aldeota, Fortaleza",65,1,2,1,R$ 825.600,Cond. R$ 1 • IPTU R$ 1,Aldeota, Fortaleza
508,"Dionisio Torres, Fortaleza",Rua Henriqueta Galeno,"Apartamento para comprar 
Dionisio Torres, Fortaleza",44,2,2,1,R$ 348.946,0,Dionisio Torres, Fortaleza
509,"José de Alencar, Fortaleza",Rua Eliseu Oriá,"Apartamento para comprar 
José de Alencar, Fortaleza",95,3,3,2,R$ 700.000,Cond. R$ 490,José de Alencar, Fortaleza
510,"Meireles, Fortaleza",Rua Silva Jatahy,"Apartamento para comprar 
Meireles, Fortaleza",600,5,7,8,R$ 4.300.000,Cond. R$ 3.750 • IPTU R$ 13.000,Meireles, Fortaleza
511,"Meireles, Fortaleza",Rua Visconde de Mauá,"Apartamento para comprar 
Meireles, Fortaleza",132,3,3,2,R$ 1.565.800,0,Meireles, Fortaleza
512,"José Bonifácio, Fortaleza",Rua Solon Pinheiro,"Apartamento para comprar 
José Bonifácio, Fortaleza",90,3,3,2,R$ 845.000,0,José Bonifácio, Fortaleza
513,"Dendê, Fortaleza",Rua B,"Apartamento para comprar 
Dendê, Fortaleza",44,2,1,1,R$ 250.000,Cond. R$ 300 • IPTU R$ 13,Dendê, Fortaleza
514,"Lagoa Redonda, Fortaleza",Rua B,"Casa para comprar 
Lagoa Redonda, Fortaleza",82,2,3,2,R$ 290.000,IPTU R$ 468,Lagoa Redonda, Fortaleza
515,"Papicu, Fortaleza",Rua Joaquim Lima,"Apartamento para comprar 
Papicu, Fortaleza",117,3,3,1,R$ 590.000,Cond. R$ 738 • IPTU R$ 913,Papicu, Fortaleza
516,"Edson Queiroz, Fortaleza",Rua Marcelo Reis,"Casa para comprar 
Edson Queiroz, Fortaleza",348,6,3,5,R$ 590.000,0,Edson Queiroz, Fortaleza
517,"Aldeota, Fortaleza",Rua Padre Quindere,"Apartamento para comprar 
Aldeota, Fortaleza",223,4,5,4,R$ 870.000,Cond. R$ 2.530 • IPTU R$ 6.083,Aldeota, Fortaleza
518,"Meireles, Fortaleza",Rua Tibúrcio Cavalcanti,"Apartamento para comprar 
Meireles, Fortaleza",198,4,6,3,R$ 1.700.000,Cond. R$ 1.850,Meireles, Fortaleza
519,"Cocó, Fortaleza",Rua Professor Francisco Gonçalves,"Apartamento para comprar 
Cocó, Fortaleza",99,2,2,2,R$ 990.000,Cond. R$ 820 • IPTU R$ 3.000,Cocó, Fortaleza
520,"Parque Manibura, Fortaleza",Avenida José Leon,"Casa de condomínio para comprar 
Parque Manibura, Fortaleza",220,4,5,4,R$ 980.000,Cond. R$ 1.050,Parque Manibura, Fortaleza
521,"Meireles, Fortaleza",Rua Canuto de Aguiar,"Apartamento para comprar 
Meireles, Fortaleza",197,4,5,4,R$ 1.599.000,Cond. R$ 2.500,Meireles, Fortaleza
522,"Sapiranga-Coité, Fortaleza",Rua Rangel Pestana,"Casa de condomínio para comprar 
Sapiranga-Coité, Fortaleza",203,4,5,3,R$ 1.000.000,IPTU R$ 2.787,Sapiranga-Coité, Fortaleza
523,"Sapiranga, Fortaleza",,"Casa para comprar 
Sapiranga, Fortaleza",317,5,4,4,R$ 980.000,0,Sapiranga, Fortaleza
524,"Mondubim, Fortaleza",Rua 3,"Casa para comprar 
Mondubim, Fortaleza",200,4,4,2,R$ 1.200.000,IPTU R$ 800,Mondubim, Fortaleza
525,"Parque Araxá, Fortaleza",Rua José de Barcelos,"Apartamento para comprar 
Parque Araxá, Fortaleza",94,3,2,2,R$ 700.000,Cond. R$ 865 • IPTU R$ 119,Parque Araxá, Fortaleza
526,"Parque Iracema, Fortaleza",Rua 3,"Apartamento para comprar 
Parque Iracema, Fortaleza",73,3,2,2,R$ 570.000,Cond. R$ 574,Parque Iracema, Fortaleza
527,"Lagoa Redonda, Fortaleza",Avenida Recreio,"Apartamento para comprar 
Lagoa Redonda, Fortaleza",45,2,1,1,R$ 184.000,0,Lagoa Redonda, Fortaleza
528,"Cocó, Fortaleza",Rua Doutor Gilberto Studart,"Apartamento para comprar 
Cocó, Fortaleza",126,3,4,3,R$ 1.200.000,Cond. R$ 1.170,Cocó, Fortaleza
529,"Montese, Fortaleza",Travessa da Saudade,"Casa para comprar 
Montese, Fortaleza",204,4,2,4,R$ 750.000,IPTU R$ 50,Montese, Fortaleza
530,"Benfica, Fortaleza",Avenida dos Expedicionários,"Apartamento para comprar 
Benfica, Fortaleza",90,3,3,2,R$ 770.000,Cond. R$ 720 • IPTU R$ 1.700,Benfica, Fortaleza
531,"José de Alencar, Fortaleza",Rua Clodoaldo Arruda,"Casa de condomínio para comprar 
José de Alencar, Fortaleza",54,2,2,2,R$ 260.000,Cond. R$ 350,José de Alencar, Fortaleza
