,bairro/cidade,rua,legenda,area m²,Quartos,banheiros,vagas,preço,condominio,bairro,cidade
979,"Pedras, Fortaleza",Rua Quartzo,"Apartamento para comprar 
Pedras, Fortaleza",55.0,2,2,1,165000.0,0.0,Pedras, Fortaleza
980,"Meireles, Fortaleza",Avenida Antônio Justa,"Apartamento para comprar 
Meireles, Fortaleza",158.0,3,4,2,690000.0,1632.0,Meireles, Fortaleza
981,"Cajazeiras, Fortaleza",Avenida Geógrafo Antônio Ribeiro Zaranza,"Apartamento para comprar 
Cajazeiras, Fortaleza",44.0,2,1,1,55000.0,200.0,Cajazeiras, Fortaleza
982,"Barroso, Fortaleza",Rua Mucambinho,"Apartamento para comprar 
Barroso, Fortaleza",45.0,2,1,1,150000.0,240.0,Barroso, Fortaleza
983,"Meireles, Fortaleza",Rua Doutor José Lourenço,"Apartamento para comprar 
Meireles, Fortaleza",254.0,4,6,5,4150000.0,2341.0,Meireles, Fortaleza
984,"Joaquim Távora, Fortaleza",Avenida Visconde do Rio Branco,"Apartamento para comprar 
Joaquim Távora, Fortaleza",73.0,3,2,2,685000.0,515.0,Joaquim Távora, Fortaleza
985,"Cocó, Fortaleza",Avenida Padre Antônio Tomás,"Apartamento para comprar 
Cocó, Fortaleza",206.0,3,5,4,1550000.0,2350.0,Cocó, Fortaleza
986,"Passaré, Fortaleza",Rua Alencar Oliveira,"Apartamento para comprar 
Passaré, Fortaleza",45.0,2,1,1,180000.0,250.0,Passaré, Fortaleza
989,"Jardim Cearense, Fortaleza",Rua 5,"Casa para comprar 
Jardim Cearense, Fortaleza",100.0,2,1,1,380000.0,0.0,Jardim Cearense, Fortaleza
990,"Parque Santa Maria, Fortaleza",Rua Augusta Benevides,"Apartamento para comprar 
Parque Santa Maria, Fortaleza",38.0,2,1,1,213828.0,250.0,Parque Santa Maria, Fortaleza
991,"Ancuri, Fortaleza",Rodovia Quarto Anel Viário,"Apartamento para comprar 
Ancuri, Fortaleza",56.0,2,2,1,165000.0,0.0,Ancuri, Fortaleza
992,"Pedras, Fortaleza",Avenida Dionísio Leonel Alencar,"Casa para comprar 
Pedras, Fortaleza",92.0,3,2,2,260000.0,0.0,Pedras, Fortaleza
993,"Dionisio Torres, Fortaleza",Rua Silva Paulet,"Apartamento para comprar 
Dionisio Torres, Fortaleza",115.0,3,4,2,750000.0,1045.0,Dionisio Torres, Fortaleza
994,"Boa Vista, Fortaleza",Rua Edno Alves de Oliveira,"Casa para comprar 
Boa Vista, Fortaleza",165.0,3,3,3,460000.0,0.0,Boa Vista, Fortaleza
995,"Paupina, Fortaleza",Rua do Murará,"Apartamento para comprar 
Paupina, Fortaleza",50.0,2,1,1,160000.0,370.0,Paupina, Fortaleza
996,"Meireles, Fortaleza",Rua Joaquim Nabuco,"Apartamento para comprar 
Meireles, Fortaleza",74.0,2,2,2,980000.0,1000.0,Meireles, Fortaleza
997,"Aldeota, Fortaleza",Rua Paula Ney,"Apartamento para comprar 
Aldeota, Fortaleza",98.0,3,3,2,1242800.0,0.0,Aldeota, Fortaleza
998,"Aldeota, Fortaleza",Rua Carlos Vasconcelos,"Apartamento para comprar 
Aldeota, Fortaleza",107.0,3,4,3,594000.0,1450.0,Aldeota, Fortaleza
999,"Mondubim, Fortaleza",Rua Monte Líbano,"Apartamento para comprar 
Mondubim, Fortaleza",45.0,2,1,1,70000.0,420.0,Mondubim, Fortaleza
1001,"Barroso, Fortaleza",Rua Valéria,"Apartamento para comprar 
Barroso, Fortaleza",44.0,2,1,1,60000.0,0.0,Barroso, Fortaleza
1002,"Aldeota, Fortaleza",Rua Antônio Augusto,"Apartamento para comprar 
Aldeota, Fortaleza",66.0,2,3,2,615000.0,700.0,Aldeota, Fortaleza
1003,"Dionisio Torres, Fortaleza",Rua Professor Dias da Rocha,"Apartamento para comprar 
Dionisio Torres, Fortaleza",134.0,3,4,2,980000.0,1065.0,Dionisio Torres, Fortaleza
1004,"Jangurussu, Fortaleza",Rua Francisco Alves Ribeiro,"Apartamento para comprar 
Jangurussu, Fortaleza",46.0,2,1,1,150000.0,290.0,Jangurussu, Fortaleza
1005,"Pedras, Fortaleza",Rua Quartzo,"Apartamento para comprar 
Pedras, Fortaleza",55.0,2,1,1,144000.0,0.0,Pedras, Fortaleza
1006,"Parangaba, Fortaleza",Avenida Godofredo Maciel,"Apartamento para comprar 
Parangaba, Fortaleza",120.0,3,2,1,260000.0,350.0,Parangaba, Fortaleza
1008,"Parque Iracema, Fortaleza",Rua Consuelo Freire,"Apartamento para comprar 
Parque Iracema, Fortaleza",75.0,3,3,2,799000.0,1041.0,Parque Iracema, Fortaleza
1009,"Meireles, Fortaleza",Rua Doutor José Lourenço,"Apartamento para comprar 
Meireles, Fortaleza",254.0,4,6,5,3900000.0,1.0,Meireles, Fortaleza
1010,"Messejana, Fortaleza",Rua Barão Aquiraz,"Apartamento para comprar 
Messejana, Fortaleza",60.0,3,2,2,195000.0,525.0,Messejana, Fortaleza
1011,"Meireles, Fortaleza",Rua Canuto de Aguiar,"Apartamento para comprar 
Meireles, Fortaleza",232.0,4,5,4,3900000.0,1.0,Meireles, Fortaleza
1012,"Jardim Cearense, Fortaleza",Rua Rúbens Monte,"Casa para comprar 
Jardim Cearense, Fortaleza",360.0,5,5,20,2600000.0,0.0,Jardim Cearense, Fortaleza
1013,"Mucuripe, Fortaleza",Avenida da Abolição,"Apartamento para comprar 
Mucuripe, Fortaleza",57.0,2,2,2,440000.0,911.0,Mucuripe, Fortaleza
1014,"Vicente Pinzon, Fortaleza",Avenida Zezé Diogo,"Apartamento para comprar 
Vicente Pinzon, Fortaleza",53.0,2,2,1,403000.0,0.0,Vicente Pinzon, Fortaleza
1015,"Meireles, Fortaleza",Rua Frei Mansueto,"Casa de condomínio para comprar 
Meireles, Fortaleza",380.0,5,8,5,2690000.0,2349.0,Meireles, Fortaleza
1016,"Presidente Kennedy, Fortaleza",Rua Libaneses,"Apartamento para comprar 
Presidente Kennedy, Fortaleza",55.0,2,2,1,470000.0,1.0,Presidente Kennedy, Fortaleza
1017,"Meireles, Fortaleza",Rua Antônio Augusto,"Apartamento para comprar 
Meireles, Fortaleza",75.0,2,2,2,870000.0,680.0,Meireles, Fortaleza
1018,"Cidade dos Funcionários, Fortaleza",Rua Escrivão Azevedo,"Apartamento para comprar 
Cidade dos Funcionários, Fortaleza",102.0,3,3,2,269100.0,727.0,Cidade dos Funcionários, Fortaleza
1019,"Engenheiro Luciano Cavalcante, Fortaleza",Rua Leopoldo Perez,"Casa para comprar 
Engenheiro Luciano Cavalcante, Fortaleza",120.0,3,3,3,510000.0,500.0,Engenheiro Luciano Cavalcante, Fortaleza
1020,"Ancuri, Fortaleza",Rodovia Quarto Anel Viário,"Casa para comprar 
Ancuri, Fortaleza",80.0,2,2,2,215000.0,0.0,Ancuri, Fortaleza
1022,"Sapiranga-Coité, Fortaleza",Rua Nadir Saboya,"Casa para comprar 
Sapiranga-Coité, Fortaleza",188.0,4,4,2,625000.0,0.0,Sapiranga-Coité, Fortaleza
